"<<<<<<< HEAD";;;;;;
miguel;127.0.0.1;2021.12.13-12:39:12;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639395552
Admin;127.0.0.1;2021.12.13-12:42:08;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639395728
miguel;127.0.0.1;2021.12.13-12:46:33;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639395993
miguel;127.0.0.1;2021.12.13-12:51:58;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639396318
miguel;127.0.0.1;2021.12.13-12:52:33;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639396352
miguel;127.0.0.1;2021.12.13-13:05:28;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639397127
Admin;127.0.0.1;2021.12.13-13:05:38;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639397138
=======;;;;;;
miguel;127.0.0.1;2021.12.13-12:50:13;grupo2.com;"Apache/2.4.41 (Ubuntu)";"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0";1639396213
Admin;127.0.0.1;2021.12.13-12:50:24;grupo2.com;"Apache/2.4.41 (Ubuntu)";"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0";1639396224
"<<<<<<< HEAD";;;;;;
Admin;127.0.0.1;2021.12.13-13:03:01;grupo2.com;"Apache/2.4.41 (Ubuntu)";"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:95.0) Gecko/20100101 Firefox/95.0";1639396981
=======;;;;;;
">>>>>>> 9fd6d4257aa725645a981e173ca52e3fc2650eef";;;;;;
">>>>>>> 785fb2224674828a6790b0a202c524fdfee3994c";;;;;;
Admin;127.0.0.1;2021.12.13-13:11:35;grupo2.com;"Apache/2.4.41 (Ubuntu)";"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:94.0) Gecko/20100101 Firefox/94.0";1639397495
miguel;127.0.0.1;2021.12.13-13:49:50;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639399790
miguel;127.0.0.1;2021.12.13-14:19:24;grupo2.com;"Apache/2.4.51 (Debian)";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36";1639401564
